Bank Ref,Debit,Credit,Value Date,Description,Counterparty
UTR_NOISE_7994,,4697.71,2026-08-17,Miscellaneous deposit 7994,Corp 95
UTR_NOISE_7995,,14358.20,2026-08-14,Miscellaneous deposit 7995,Corp 9
UTR_NOISE_7996,,1656.13,2026-08-15,Miscellaneous deposit 7996,Corp 15
UTR_NOISE_7997,,9222.58,2026-08-15,Miscellaneous deposit 7997,Corp 97
UTR_NOISE_7998,,1465.99,2026-08-17,Miscellaneous deposit 7998,Corp 22
UTR_NOISE_7999,,3416.97,2026-08-16,Miscellaneous deposit 7999,Corp 21
UTR_NOISE_8000,,4451.81,2026-08-13,Miscellaneous deposit 8000,Corp 6
UTR_NOISE_8001,,9725.57,2026-08-13,Miscellaneous deposit 8001,Corp 47
UTR_NOISE_8002,,1689.70,2026-08-13,Miscellaneous deposit 8002,Corp 99
UTR_NOISE_8003,,7225.58,2026-08-16,Miscellaneous deposit 8003,Corp 54
UTR_NOISE_8004,,7325.77,2026-08-13,Miscellaneous deposit 8004,Corp 38
UTR_NOISE_8005,,710.10,2026-08-13,Miscellaneous deposit 8005,Corp 33
UTR_NOISE_8006,,662.28,2026-08-14,Miscellaneous deposit 8006,Corp 44
UTR_NOISE_8007,,1566.12,2026-08-16,Miscellaneous deposit 8007,Corp 24
UTR_NOISE_8008,,456.48,2026-08-14,Miscellaneous deposit 8008,Corp 44
UTR_NOISE_8009,,1563.74,2026-08-16,Miscellaneous deposit 8009,Corp 57
UTR_NOISE_8010,,6325.79,2026-08-14,Miscellaneous deposit 8010,Corp 72
UTR_NOISE_8011,,1431.42,2026-08-14,Miscellaneous deposit 8011,Corp 55
UTR_NOISE_8012,,856.86,2026-08-14,Miscellaneous deposit 8012,Corp 22
UTR_NOISE_8013,,1228.37,2026-08-15,Miscellaneous deposit 8013,Corp 37
UTR_NOISE_8014,,698.55,2026-08-13,Miscellaneous deposit 8014,Corp 4
UTR_NOISE_8015,,24879.69,2026-08-14,Miscellaneous deposit 8015,Corp 99
UTR_NOISE_8016,,1169.92,2026-08-13,Miscellaneous deposit 8016,Corp 16
UTR_NOISE_8017,,2511.84,2026-08-16,Miscellaneous deposit 8017,Corp 68
UTR_NOISE_8018,,5681.53,2026-08-14,Miscellaneous deposit 8018,Corp 32
UTR_NOISE_8019,,674.39,2026-08-15,Miscellaneous deposit 8019,Corp 5
UTR_NOISE_8020,,49021.71,2026-08-13,Miscellaneous deposit 8020,Corp 69
UTR_NOISE_8021,,1213.42,2026-08-17,Miscellaneous deposit 8021,Corp 82
UTR_NOISE_8022,,6584.03,2026-08-16,Miscellaneous deposit 8022,Corp 39
UTR_NOISE_8023,,172.16,2026-08-14,Miscellaneous deposit 8023,Corp 42
UTR_NOISE_8024,,613.72,2026-08-16,Miscellaneous deposit 8024,Corp 68
UTR_NOISE_8025,,7935.48,2026-08-13,Miscellaneous deposit 8025,Corp 56
UTR_NOISE_8026,,417.61,2026-08-17,Miscellaneous deposit 8026,Corp 75
UTR_NOISE_8027,,947.83,2026-08-14,Miscellaneous deposit 8027,Corp 48
UTR_NOISE_8028,,1166.87,2026-08-16,Miscellaneous deposit 8028,Corp 96
UTR_NOISE_8029,,12113.03,2026-08-16,Miscellaneous deposit 8029,Corp 95
UTR_NOISE_8030,,156.16,2026-08-13,Miscellaneous deposit 8030,Corp 25
UTR_NOISE_8031,,45724.48,2026-08-17,Miscellaneous deposit 8031,Corp 83
UTR_NOISE_8032,,1711.93,2026-08-16,Miscellaneous deposit 8032,Corp 45
UTR_NOISE_8033,,961.35,2026-08-17,Miscellaneous deposit 8033,Corp 89
UTR_NOISE_8034,,6137.89,2026-08-13,Miscellaneous deposit 8034,Corp 6
UTR_NOISE_8035,,1606.37,2026-08-14,Miscellaneous deposit 8035,Corp 87
UTR_NOISE_8036,,1049.59,2026-08-13,Miscellaneous deposit 8036,Corp 39
UTR_NOISE_8037,,2328.28,2026-08-14,Miscellaneous deposit 8037,Corp 39
UTR_NOISE_8038,,1421.96,2026-08-14,Miscellaneous deposit 8038,Corp 26
UTR_NOISE_8039,,1656.06,2026-08-15,Miscellaneous deposit 8039,Corp 88
UTR_NOISE_8040,,861.70,2026-08-17,Miscellaneous deposit 8040,Corp 23
UTR_NOISE_8041,,1211.58,2026-08-17,Miscellaneous deposit 8041,Corp 31
UTR_NOISE_8042,,10223.14,2026-08-15,Miscellaneous deposit 8042,Corp 26
UTR_NOISE_8043,,13252.83,2026-08-14,Miscellaneous deposit 8043,Corp 41
UTR_NOISE_8044,,1335.43,2026-08-17,Miscellaneous deposit 8044,Corp 38
UTR_NOISE_8045,,4522.86,2026-08-16,Miscellaneous deposit 8045,Corp 45
UTR_NOISE_8046,,1322.97,2026-08-13,Miscellaneous deposit 8046,Corp 47
UTR_NOISE_8047,,1948.44,2026-08-15,Miscellaneous deposit 8047,Corp 39
UTR_NOISE_8048,,261.24,2026-08-17,Miscellaneous deposit 8048,Corp 71
UTR_NOISE_8049,,865.66,2026-08-15,Miscellaneous deposit 8049,Corp 7
UTR_NOISE_8050,,1060.59,2026-08-17,Miscellaneous deposit 8050,Corp 62
UTR_NOISE_8051,,1499.68,2026-08-16,Miscellaneous deposit 8051,Corp 63
UTR_NOISE_8052,,271.81,2026-08-14,Miscellaneous deposit 8052,Corp 25
UTR_NOISE_8053,,7815.94,2026-08-14,Miscellaneous deposit 8053,Corp 59
UTR_NOISE_8054,,1321.23,2026-08-15,Miscellaneous deposit 8054,Corp 70
UTR_NOISE_8055,,8336.60,2026-08-16,Miscellaneous deposit 8055,Corp 60
UTR_NOISE_8056,,1607.72,2026-08-17,Miscellaneous deposit 8056,Corp 97
UTR_NOISE_8057,,4889.29,2026-08-17,Miscellaneous deposit 8057,Corp 81
UTR_NOISE_8058,,1366.67,2026-08-16,Miscellaneous deposit 8058,Corp 9
UTR_NOISE_8059,,137.64,2026-08-15,Miscellaneous deposit 8059,Corp 47
UTR_NOISE_8060,,125.15,2026-08-13,Miscellaneous deposit 8060,Corp 41
UTR_NOISE_8061,,48952.23,2026-08-15,Miscellaneous deposit 8061,Corp 76
UTR_NOISE_8062,,1689.98,2026-08-17,Miscellaneous deposit 8062,Corp 54
UTR_NOISE_8063,,1506.93,2026-08-15,Miscellaneous deposit 8063,Corp 23
UTR_NOISE_8064,,1515.72,2026-08-15,Miscellaneous deposit 8064,Corp 56
UTR_NOISE_8065,,1790.34,2026-08-16,Miscellaneous deposit 8065,Corp 100
UTR_NOISE_8066,,933.31,2026-08-15,Miscellaneous deposit 8066,Corp 56
UTR_NOISE_8067,,1589.36,2026-08-15,Miscellaneous deposit 8067,Corp 6
UTR_NOISE_8068,,316.03,2026-08-16,Miscellaneous deposit 8068,Corp 94
UTR_NOISE_8069,,4481.53,2026-08-17,Miscellaneous deposit 8069,Corp 36
UTR_NOISE_8070,,2783.65,2026-08-15,Miscellaneous deposit 8070,Corp 63
UTR_NOISE_8071,,376.73,2026-08-17,Miscellaneous deposit 8071,Corp 50
UTR_NOISE_8072,,832.59,2026-08-14,Miscellaneous deposit 8072,Corp 16
UTR_NOISE_8073,,2167.02,2026-08-15,Miscellaneous deposit 8073,Corp 58
UTR_NOISE_8074,,650.06,2026-08-14,Miscellaneous deposit 8074,Corp 25
UTR_NOISE_8075,,8796.52,2026-08-14,Miscellaneous deposit 8075,Corp 29
UTR_NOISE_8076,,36645.56,2026-08-13,Miscellaneous deposit 8076,Corp 78
UTR_NOISE_8077,,29082.92,2026-08-16,Miscellaneous deposit 8077,Corp 34
UTR_NOISE_8078,,235981.97,2026-08-13,Miscellaneous deposit 8078,Corp 1
UTR_NOISE_8079,,4839.04,2026-08-13,Miscellaneous deposit 8079,Corp 11
UTR_NOISE_8080,,14901.60,2026-08-15,Miscellaneous deposit 8080,Corp 97
UTR_NOISE_8081,,1152.95,2026-08-13,Miscellaneous deposit 8081,Corp 58
UTR_NOISE_8082,,4986.23,2026-08-13,Miscellaneous deposit 8082,Corp 50
UTR_NOISE_8083,,558.13,2026-08-16,Miscellaneous deposit 8083,Corp 84
UTR_NOISE_8084,,7878.42,2026-08-15,Miscellaneous deposit 8084,Corp 2
UTR_NOISE_8085,,366.74,2026-08-17,Miscellaneous deposit 8085,Corp 57
UTR_NOISE_8086,,7854.22,2026-08-17,Miscellaneous deposit 8086,Corp 37
UTR_NOISE_8087,,613.45,2026-08-17,Miscellaneous deposit 8087,Corp 41
UTR_NOISE_8088,,4399.37,2026-08-16,Miscellaneous deposit 8088,Corp 46
UTR_NOISE_8089,,4153.82,2026-08-16,Miscellaneous deposit 8089,Corp 1
UTR_NOISE_8090,,760.30,2026-08-16,Miscellaneous deposit 8090,Corp 3
UTR_NOISE_8091,,32064.85,2026-08-15,Miscellaneous deposit 8091,Corp 87
UTR_NOISE_8092,,15751.24,2026-08-14,Miscellaneous deposit 8092,Corp 77
UTR_NOISE_8093,,1647.66,2026-08-13,Miscellaneous deposit 8093,Corp 5
UTR_NOISE_8094,,18939.71,2026-08-16,Miscellaneous deposit 8094,Corp 32
UTR_NOISE_8095,,1383.46,2026-08-14,Miscellaneous deposit 8095,Corp 49
UTR_NOISE_8096,,183.46,2026-08-15,Miscellaneous deposit 8096,Corp 21
UTR_NOISE_8097,,1599.57,2026-08-14,Miscellaneous deposit 8097,Corp 45
UTR_NOISE_8098,,3078.57,2026-08-13,Miscellaneous deposit 8098,Corp 16
UTR_NOISE_8099,,7234.27,2026-08-13,Miscellaneous deposit 8099,Corp 50
UTR_NOISE_8100,,738.31,2026-08-13,Miscellaneous deposit 8100,Corp 92
UTR_NOISE_8101,,17645.49,2026-08-17,Miscellaneous deposit 8101,Corp 88
UTR_NOISE_8102,,1759.79,2026-08-14,Miscellaneous deposit 8102,Corp 56
UTR_NOISE_8103,,7422.27,2026-08-14,Miscellaneous deposit 8103,Corp 74
UTR_NOISE_8104,,13298.77,2026-08-17,Miscellaneous deposit 8104,Corp 76
UTR_NOISE_8105,,213679.27,2026-08-13,Miscellaneous deposit 8105,Corp 51
UTR_NOISE_8106,,891.20,2026-08-13,Miscellaneous deposit 8106,Corp 2
UTR_NOISE_8107,,1508.59,2026-08-14,Miscellaneous deposit 8107,Corp 68
UTR_NOISE_8108,,343.60,2026-08-15,Miscellaneous deposit 8108,Corp 20
UTR_NOISE_8109,,3946.86,2026-08-14,Miscellaneous deposit 8109,Corp 9
UTR_NOISE_8110,,1953.38,2026-08-16,Miscellaneous deposit 8110,Corp 33
UTR_NOISE_8111,,1638.01,2026-08-17,Miscellaneous deposit 8111,Corp 32
UTR_NOISE_8112,,1640.28,2026-08-15,Miscellaneous deposit 8112,Corp 79
UTR_NOISE_8113,,857.26,2026-08-15,Miscellaneous deposit 8113,Corp 19
UTR_NOISE_8114,,121.24,2026-08-13,Miscellaneous deposit 8114,Corp 47
UTR_NOISE_8115,,5124.65,2026-08-13,Miscellaneous deposit 8115,Corp 13
UTR_NOISE_8116,,1838.40,2026-08-13,Miscellaneous deposit 8116,Corp 37
UTR_NOISE_8117,,1802.32,2026-08-17,Miscellaneous deposit 8117,Corp 69
UTR_NOISE_8118,,584.43,2026-08-16,Miscellaneous deposit 8118,Corp 60
UTR_NOISE_8119,,1051.06,2026-08-14,Miscellaneous deposit 8119,Corp 47
UTR_NOISE_8120,,6969.99,2026-08-15,Miscellaneous deposit 8120,Corp 39
UTR_NOISE_8121,,8294.94,2026-08-14,Miscellaneous deposit 8121,Corp 14
UTR_NOISE_8122,,586.46,2026-08-17,Miscellaneous deposit 8122,Corp 30
UTR_NOISE_8123,,8003.07,2026-08-13,Miscellaneous deposit 8123,Corp 65
UTR_NOISE_8124,,1165.27,2026-08-13,Miscellaneous deposit 8124,Corp 78
UTR_NOISE_8125,,101195.71,2026-08-14,Miscellaneous deposit 8125,Corp 8
UTR_NOISE_8126,,7486.76,2026-08-16,Miscellaneous deposit 8126,Corp 57
UTR_NOISE_8127,,740.64,2026-08-15,Miscellaneous deposit 8127,Corp 44
UTR_NOISE_8128,,346.07,2026-08-17,Miscellaneous deposit 8128,Corp 13
UTR_NOISE_8129,,6150.72,2026-08-15,Miscellaneous deposit 8129,Corp 36
UTR_NOISE_8130,,1031.74,2026-08-13,Miscellaneous deposit 8130,Corp 45
UTR_NOISE_8131,,5250.40,2026-08-14,Miscellaneous deposit 8131,Corp 21
UTR_NOISE_8132,,1539.42,2026-08-17,Miscellaneous deposit 8132,Corp 46
UTR_NOISE_8133,,28813.74,2026-08-14,Miscellaneous deposit 8133,Corp 31
UTR_NOISE_8134,,3913.87,2026-08-14,Miscellaneous deposit 8134,Corp 39
UTR_NOISE_8135,,47430.31,2026-08-15,Miscellaneous deposit 8135,Corp 20
UTR_NOISE_8136,,900.32,2026-08-14,Miscellaneous deposit 8136,Corp 4
UTR_NOISE_8137,,6906.60,2026-08-13,Miscellaneous deposit 8137,Corp 42
UTR_NOISE_8138,,16597.79,2026-08-13,Miscellaneous deposit 8138,Corp 4
UTR_NOISE_8139,,339.75,2026-08-16,Miscellaneous deposit 8139,Corp 50
UTR_NOISE_8140,,6991.15,2026-08-14,Miscellaneous deposit 8140,Corp 9
UTR_NOISE_8141,,8826.40,2026-08-17,Miscellaneous deposit 8141,Corp 21
UTR_NOISE_8142,,324.63,2026-08-17,Miscellaneous deposit 8142,Corp 42
UTR_NOISE_8143,,7347.12,2026-08-13,Miscellaneous deposit 8143,Corp 72
UTR_NOISE_8144,,1107.21,2026-08-13,Miscellaneous deposit 8144,Corp 42
UTR_NOISE_8145,,109.89,2026-08-17,Miscellaneous deposit 8145,Corp 50
UTR_NOISE_8146,,6369.43,2026-08-17,Miscellaneous deposit 8146,Corp 84
UTR_NOISE_8147,,1471.17,2026-08-15,Miscellaneous deposit 8147,Corp 6
UTR_NOISE_8148,,1645.47,2026-08-13,Miscellaneous deposit 8148,Corp 21
UTR_NOISE_8149,,1303.91,2026-08-15,Miscellaneous deposit 8149,Corp 37
UTR_NOISE_8150,,31598.76,2026-08-13,Miscellaneous deposit 8150,Corp 14
UTR_NOISE_8151,,17736.53,2026-08-14,Miscellaneous deposit 8151,Corp 65
UTR_NOISE_8152,,1047.28,2026-08-16,Miscellaneous deposit 8152,Corp 43
UTR_NOISE_8153,,736.64,2026-08-17,Miscellaneous deposit 8153,Corp 67
UTR_NOISE_8154,,9369.70,2026-08-17,Miscellaneous deposit 8154,Corp 86
UTR_NOISE_8155,,934.33,2026-08-16,Miscellaneous deposit 8155,Corp 93
UTR_NOISE_8156,,1157.94,2026-08-15,Miscellaneous deposit 8156,Corp 96
UTR_NOISE_8157,,87733.56,2026-08-15,Miscellaneous deposit 8157,Corp 21
UTR_NOISE_8158,,1735.78,2026-08-16,Miscellaneous deposit 8158,Corp 84
UTR_NOISE_8159,,8341.10,2026-08-17,Miscellaneous deposit 8159,Corp 66
UTR_NOISE_8160,,1916.11,2026-08-16,Miscellaneous deposit 8160,Corp 84
UTR_NOISE_8161,,1657.28,2026-08-16,Miscellaneous deposit 8161,Corp 50
UTR_NOISE_8162,,868.31,2026-08-14,Miscellaneous deposit 8162,Corp 91
UTR_NOISE_8163,,1953.22,2026-08-13,Miscellaneous deposit 8163,Corp 14
UTR_NOISE_8164,,584.94,2026-08-14,Miscellaneous deposit 8164,Corp 2
UTR_NOISE_8165,,585.79,2026-08-13,Miscellaneous deposit 8165,Corp 37
UTR_NOISE_8166,,1145.34,2026-08-17,Miscellaneous deposit 8166,Corp 78
UTR_NOISE_8167,,8926.41,2026-08-13,Miscellaneous deposit 8167,Corp 55
UTR_NOISE_8168,,1129.11,2026-08-14,Miscellaneous deposit 8168,Corp 45
UTR_NOISE_8169,,2208.10,2026-08-16,Miscellaneous deposit 8169,Corp 4
UTR_NOISE_8170,,134750.89,2026-08-14,Miscellaneous deposit 8170,Corp 74
UTR_NOISE_8171,,979.34,2026-08-13,Miscellaneous deposit 8171,Corp 14
UTR_NOISE_8172,,449.22,2026-08-15,Miscellaneous deposit 8172,Corp 98
UTR_NOISE_8173,,212.95,2026-08-14,Miscellaneous deposit 8173,Corp 9
UTR_NOISE_8174,,20960.62,2026-08-17,Miscellaneous deposit 8174,Corp 87
UTR_NOISE_8175,,160296.03,2026-08-13,Miscellaneous deposit 8175,Corp 95
UTR_NOISE_8176,,1730.09,2026-08-14,Miscellaneous deposit 8176,Corp 64
UTR_NOISE_8177,,823.47,2026-08-14,Miscellaneous deposit 8177,Corp 78
UTR_NOISE_8178,,1309.64,2026-08-14,Miscellaneous deposit 8178,Corp 82
UTR_NOISE_8179,,1751.81,2026-08-13,Miscellaneous deposit 8179,Corp 21
UTR_NOISE_8180,,19189.51,2026-08-17,Miscellaneous deposit 8180,Corp 30
UTR_NOISE_8181,,7805.79,2026-08-17,Miscellaneous deposit 8181,Corp 71
UTR_NOISE_8182,,968.64,2026-08-17,Miscellaneous deposit 8182,Corp 66
UTR_NOISE_8183,,766.23,2026-08-14,Miscellaneous deposit 8183,Corp 83
UTR_NOISE_8184,,544.79,2026-08-15,Miscellaneous deposit 8184,Corp 85
UTR_NOISE_8185,,8880.91,2026-08-14,Miscellaneous deposit 8185,Corp 21
UTR_NOISE_8186,,681.80,2026-08-13,Miscellaneous deposit 8186,Corp 86
UTR_NOISE_8187,,323.49,2026-08-15,Miscellaneous deposit 8187,Corp 6
UTR_NOISE_8188,,1613.23,2026-08-13,Miscellaneous deposit 8188,Corp 95
UTR_NOISE_8189,,8752.16,2026-08-14,Miscellaneous deposit 8189,Corp 35
UTR_NOISE_8190,,9577.79,2026-08-17,Miscellaneous deposit 8190,Corp 63
UTR_NOISE_8191,,9655.84,2026-08-17,Miscellaneous deposit 8191,Corp 22
UTR_NOISE_8192,,1433.76,2026-08-15,Miscellaneous deposit 8192,Corp 11
UTR_NOISE_8193,,7877.98,2026-08-14,Miscellaneous deposit 8193,Corp 46
UTR_NOISE_8194,,40800.44,2026-08-15,Miscellaneous deposit 8194,Corp 27
UTR_NOISE_8195,,34664.66,2026-08-14,Miscellaneous deposit 8195,Corp 49
UTR_NOISE_8196,,646.15,2026-08-17,Miscellaneous deposit 8196,Corp 89
UTR_NOISE_8197,,1024.80,2026-08-17,Miscellaneous deposit 8197,Corp 38
UTR_NOISE_8198,,43079.54,2026-08-17,Miscellaneous deposit 8198,Corp 58
UTR_NOISE_8199,,33469.69,2026-08-15,Miscellaneous deposit 8199,Corp 81
UTR_NOISE_8200,,200.52,2026-08-16,Miscellaneous deposit 8200,Corp 91
UTR_NOISE_8201,,1267.40,2026-08-14,Miscellaneous deposit 8201,Corp 54
UTR_NOISE_8202,,170.25,2026-08-17,Miscellaneous deposit 8202,Corp 5
UTR_NOISE_8203,,1322.70,2026-08-16,Miscellaneous deposit 8203,Corp 33
UTR_NOISE_8204,,1374.83,2026-08-17,Miscellaneous deposit 8204,Corp 68
UTR_NOISE_8205,,1062.65,2026-08-15,Miscellaneous deposit 8205,Corp 44
UTR_NOISE_8206,,1545.43,2026-08-13,Miscellaneous deposit 8206,Corp 90
UTR_NOISE_8207,,5977.61,2026-08-13,Miscellaneous deposit 8207,Corp 38
UTR_NOISE_8208,,1281.26,2026-08-14,Miscellaneous deposit 8208,Corp 23
UTR_NOISE_8209,,35546.05,2026-08-13,Miscellaneous deposit 8209,Corp 44
UTR_NOISE_8210,,2381.97,2026-08-15,Miscellaneous deposit 8210,Corp 49
UTR_NOISE_8211,,44282.33,2026-08-16,Miscellaneous deposit 8211,Corp 5
UTR_NOISE_8212,,908.77,2026-08-15,Miscellaneous deposit 8212,Corp 69
UTR_NOISE_8213,,11908.72,2026-08-17,Miscellaneous deposit 8213,Corp 38
UTR_NOISE_8214,,898.47,2026-08-17,Miscellaneous deposit 8214,Corp 77
UTR_NOISE_8215,,698.46,2026-08-13,Miscellaneous deposit 8215,Corp 79
UTR_NOISE_8216,,38396.14,2026-08-15,Miscellaneous deposit 8216,Corp 81
UTR_NOISE_8217,,1292.23,2026-08-14,Miscellaneous deposit 8217,Corp 49
UTR_NOISE_8218,,517.58,2026-08-15,Miscellaneous deposit 8218,Corp 28
UTR_NOISE_8219,,1767.57,2026-08-17,Miscellaneous deposit 8219,Corp 44
UTR_NOISE_8220,,691.31,2026-08-14,Miscellaneous deposit 8220,Corp 53
UTR_NOISE_8221,,1999.21,2026-08-17,Miscellaneous deposit 8221,Corp 52
UTR_NOISE_8222,,587.25,2026-08-13,Miscellaneous deposit 8222,Corp 84
UTR_NOISE_8223,,14098.72,2026-08-14,Miscellaneous deposit 8223,Corp 16
UTR_NOISE_8224,,5770.22,2026-08-13,Miscellaneous deposit 8224,Corp 26
UTR_NOISE_8225,,502.81,2026-08-17,Miscellaneous deposit 8225,Corp 57
UTR_NOISE_8226,,584.96,2026-08-14,Miscellaneous deposit 8226,Corp 13
UTR_NOISE_8227,,442.58,2026-08-14,Miscellaneous deposit 8227,Corp 81
UTR_NOISE_8228,,8052.55,2026-08-14,Miscellaneous deposit 8228,Corp 60
UTR_NOISE_8229,,9430.42,2026-08-16,Miscellaneous deposit 8229,Corp 72
UTR_NOISE_8230,,1777.26,2026-08-17,Miscellaneous deposit 8230,Corp 5
UTR_NOISE_8231,,1227.42,2026-08-13,Miscellaneous deposit 8231,Corp 5
UTR_NOISE_8232,,1887.84,2026-08-13,Miscellaneous deposit 8232,Corp 22
UTR_NOISE_8233,,1930.02,2026-08-15,Miscellaneous deposit 8233,Corp 36
UTR_NOISE_8234,,1654.71,2026-08-17,Miscellaneous deposit 8234,Corp 23
UTR_NOISE_8235,,1074.30,2026-08-17,Miscellaneous deposit 8235,Corp 7
UTR_NOISE_8236,,910.62,2026-08-14,Miscellaneous deposit 8236,Corp 92
UTR_NOISE_8237,,5463.63,2026-08-14,Miscellaneous deposit 8237,Corp 65
UTR_NOISE_8238,,9227.58,2026-08-14,Miscellaneous deposit 8238,Corp 44
UTR_NOISE_8239,,34589.34,2026-08-13,Miscellaneous deposit 8239,Corp 21
UTR_NOISE_8240,,4973.98,2026-08-13,Miscellaneous deposit 8240,Corp 90
UTR_NOISE_8241,,1193.13,2026-08-17,Miscellaneous deposit 8241,Corp 94
UTR_NOISE_8242,,208.88,2026-08-16,Miscellaneous deposit 8242,Corp 7
UTR_NOISE_8243,,1361.40,2026-08-13,Miscellaneous deposit 8243,Corp 62
UTR_NOISE_8244,,865.52,2026-08-15,Miscellaneous deposit 8244,Corp 63
UTR_NOISE_8245,,18331.87,2026-08-15,Miscellaneous deposit 8245,Corp 4
UTR_NOISE_8246,,1852.30,2026-08-17,Miscellaneous deposit 8246,Corp 40
UTR_NOISE_8247,,3777.69,2026-08-17,Miscellaneous deposit 8247,Corp 8
UTR_NOISE_8248,,576.58,2026-08-17,Miscellaneous deposit 8248,Corp 99
UTR_NOISE_8249,,360.59,2026-08-16,Miscellaneous deposit 8249,Corp 92
UTR_NOISE_8250,,1526.80,2026-08-15,Miscellaneous deposit 8250,Corp 37
UTR_NOISE_8251,,1886.66,2026-08-17,Miscellaneous deposit 8251,Corp 53
UTR_NOISE_8252,,1377.02,2026-08-13,Miscellaneous deposit 8252,Corp 73
UTR_NOISE_8253,,7820.27,2026-08-13,Miscellaneous deposit 8253,Corp 2
UTR_NOISE_8254,,3543.61,2026-08-17,Miscellaneous deposit 8254,Corp 32
UTR_NOISE_8255,,183.82,2026-08-17,Miscellaneous deposit 8255,Corp 40
UTR_NOISE_8256,,2837.80,2026-08-14,Miscellaneous deposit 8256,Corp 35
UTR_NOISE_8257,,1657.16,2026-08-13,Miscellaneous deposit 8257,Corp 28
UTR_NOISE_8258,,1300.56,2026-08-14,Miscellaneous deposit 8258,Corp 58
UTR_NOISE_8259,,22597.76,2026-08-17,Miscellaneous deposit 8259,Corp 50
UTR_NOISE_8260,,2137.21,2026-08-15,Miscellaneous deposit 8260,Corp 52
UTR_NOISE_8261,,1460.83,2026-08-17,Miscellaneous deposit 8261,Corp 72
UTR_NOISE_8262,,1093.44,2026-08-16,Miscellaneous deposit 8262,Corp 75
UTR_NOISE_8263,,1073.79,2026-08-16,Miscellaneous deposit 8263,Corp 89
UTR_NOISE_8264,,687.69,2026-08-15,Miscellaneous deposit 8264,Corp 42
UTR_NOISE_8265,,1134.87,2026-08-15,Miscellaneous deposit 8265,Corp 34
UTR_NOISE_8266,,4204.62,2026-08-14,Miscellaneous deposit 8266,Corp 35
UTR_NOISE_8267,,741.45,2026-08-15,Miscellaneous deposit 8267,Corp 46
UTR_NOISE_8268,,1780.35,2026-08-13,Miscellaneous deposit 8268,Corp 49
UTR_NOISE_8269,,1140.83,2026-08-13,Miscellaneous deposit 8269,Corp 93
UTR_NOISE_8270,,3483.12,2026-08-13,Miscellaneous deposit 8270,Corp 86
UTR_NOISE_8271,,37075.68,2026-08-16,Miscellaneous deposit 8271,Corp 59
UTR_NOISE_8272,,16553.79,2026-08-17,Miscellaneous deposit 8272,Corp 7
UTR_NOISE_8273,,16449.77,2026-08-17,Miscellaneous deposit 8273,Corp 29
UTR_NOISE_8274,,29666.63,2026-08-16,Miscellaneous deposit 8274,Corp 7
UTR_NOISE_8275,,1100.31,2026-08-14,Miscellaneous deposit 8275,Corp 35
UTR_NOISE_8276,,4153.59,2026-08-16,Miscellaneous deposit 8276,Corp 61
UTR_NOISE_8277,,15085.38,2026-08-16,Miscellaneous deposit 8277,Corp 28
UTR_NOISE_8278,,43012.64,2026-08-13,Miscellaneous deposit 8278,Corp 34
UTR_NOISE_8279,,1107.07,2026-08-14,Miscellaneous deposit 8279,Corp 86
UTR_NOISE_8280,,4140.53,2026-08-14,Miscellaneous deposit 8280,Corp 94
UTR_NOISE_8281,,2907.59,2026-08-17,Miscellaneous deposit 8281,Corp 27
UTR_NOISE_8282,,168955.28,2026-08-16,Miscellaneous deposit 8282,Corp 13
UTR_NOISE_8283,,500.82,2026-08-14,Miscellaneous deposit 8283,Corp 95
UTR_NOISE_8284,,272.88,2026-08-13,Miscellaneous deposit 8284,Corp 94
UTR_NOISE_8285,,1431.70,2026-08-17,Miscellaneous deposit 8285,Corp 92
UTR_NOISE_8286,,10868.82,2026-08-16,Miscellaneous deposit 8286,Corp 18
UTR_NOISE_8287,,468.91,2026-08-13,Miscellaneous deposit 8287,Corp 45
UTR_NOISE_8288,,1324.24,2026-08-16,Miscellaneous deposit 8288,Corp 57
UTR_NOISE_8289,,1537.95,2026-08-14,Miscellaneous deposit 8289,Corp 22
UTR_NOISE_8290,,906.07,2026-08-13,Miscellaneous deposit 8290,Corp 26
UTR_NOISE_8291,,576.19,2026-08-14,Miscellaneous deposit 8291,Corp 36
UTR_NOISE_8292,,7358.60,2026-08-16,Miscellaneous deposit 8292,Corp 90
UTR_NOISE_8293,,14314.93,2026-08-15,Miscellaneous deposit 8293,Corp 85
UTR_NOISE_8294,,9927.61,2026-08-17,Miscellaneous deposit 8294,Corp 96
UTR_NOISE_8295,,1940.09,2026-08-16,Miscellaneous deposit 8295,Corp 56
UTR_NOISE_8296,,32185.60,2026-08-17,Miscellaneous deposit 8296,Corp 34
UTR_NOISE_8297,,25074.77,2026-08-17,Miscellaneous deposit 8297,Corp 81
UTR_NOISE_8298,,1693.44,2026-08-15,Miscellaneous deposit 8298,Corp 62
UTR_NOISE_8299,,1028.79,2026-08-14,Miscellaneous deposit 8299,Corp 1
UTR_NOISE_8300,,1092.89,2026-08-16,Miscellaneous deposit 8300,Corp 86
UTR_NOISE_8301,,8463.16,2026-08-13,Miscellaneous deposit 8301,Corp 69
UTR_NOISE_8302,,6467.56,2026-08-15,Miscellaneous deposit 8302,Corp 70
UTR_NOISE_8303,,714.59,2026-08-15,Miscellaneous deposit 8303,Corp 49
UTR_NOISE_8304,,1816.10,2026-08-13,Miscellaneous deposit 8304,Corp 47
UTR_NOISE_8305,,9716.66,2026-08-14,Miscellaneous deposit 8305,Corp 16
